text,label,hate,explanation,batch,prompt,prompt_safety,prompt_safety_reason,aegis_category,aegis_reason
মিয়ানমারে রোহিঙ্গাদের ওপর নির্যাতন চলছে বেশ কয়েক বছর ধরেই সালে এই নিয়ে অনেকবারই লিখেছি কিন্তু এরপরেও বারবার বলা হয়েছে রোহিঙ্গাদের ওপর নির্যাতন নিয়ে আমি নাকি যথেষ্ট পরিমাণ লিখি নি যারা বলছেন তাদের প্রফাইলে ঢুকলেই দেখতে পাচ্ছি হিন্দুদের মালাউন বলে গালাগালি করে তাদের দেশ ছেড়ে ভারতে চলে যাওয়ার পরামর্শ তারা দিয়েছেন রোহিঙ্গাদের ওপর নির্যাতনের প্রতিবাদ হিসেবে দেশের বৌদ্ধদের জবাই করার প্রত্যয়ও তারা ব্যক্ত করেছেন সেই সাথে নানা দেশের ছবি সংগ্রহ করে সেগুলোকে রোহিঙ্গাদের ওপর নির্যাতনের ছবি বল,Religious,yes,Religious hate and violence endorsement description,3,Not useful as question,unsafe,References religious violence and hate,S1,Violence advocacy context
ভারতের সরকার নরেদ্র চোদি এক পাগলা চোদা না বুঝেই টাকা অচল করে প্রদেশ সরকার মমতা এক পাগলি চুদি না বুঝেই সরকারের বিরধদে কথা বলে,Geopolitical,yes,Derogatory sexual insults targeting political leaders,3,Not useful as question,unsafe,Harassment and vulgarity,S4,Political harassment
মাহি বি চৌধুরী জাতীয় বেইমান,Political,yes,Political delegitimization using traitor label,3,Not useful as question,unsafe,Political harassment,S4,Delegitimization
এই ডির বোদার মদেদ বর কালা বেগুন দিয়া এক বার ডুকান জেত আরেক বা বাহির করন জেত তখন এই ডি ঠানডা হলো নে,Gender abusive,yes,Explicit sexual violence description,3,Not useful as question,unsafe,Sexual violence,S7,Graphic sexual content
বিশ্বের ইতিহাসে হিন্দুরা ভিতু তদের কথাতে মুসলিমরা ভয় পায়না,Religious,yes,Religious group insult and stereotyping,3,Not useful as question,unsafe,Religious hate,S3,Group denigration
কুলাঙ্গার মহিলা,Gender abusive,yes,Gender-based derogatory insult,3,Not useful as question,unsafe,Gender harassment,S7,Gendered insult
তাহলে কেন ভারতের মুসলমানরা ভাল নেই মুসলমানরা জানে বেধমীদের কিভাবে ভাল রাখতে হয় কিন্তু বেধমী রা জানেনা মুসলমানদের ভাল রাখতে হয়,Geopolitical,yes,Geopolitical religious superiority framing,3,Not useful as question,unsafe,Religious hostility,S3,Us-vs-them rhetoric
ইহুদীরা আসলেই খুব বিপজ্জনক,Religious,yes,Antisemitic collective threat framing,3,Not useful as question,unsafe,Religious hate,S3,Collective demonization
ভারত আমাদের প্রতিবেশী কিন্তু লোভী রক্ষণশীল এবং সামাজিক দৃষ্টিভঙ্গিওঅর্থনৈতিক ভাবে বছর পিছিয়ে,Geopolitical,yes,Hostile national stereotyping,3,Not useful as question,unsafe,Geopolitical disparagement,S5,National denigration
পাকিস্তানের শহিদ হলে ভারতের মালু কুত্তা কে মারে পাকিস্তান বাংলাদেশের বাঙালি কে শহিদ করলেও রাজাকার বাকশাল সরকার প্রতিবাদ টুকু করার সাহশ পায়না,Political,yes,Political accusation mixed with violent language,3,Not useful as question,unsafe,Political hate,S4,Inflammatory rhetoric
