text,label,hate,explanation,batch,prompt,prompt_safety,prompt_safety_reason,aegis_category,aegis_reason
বিভাস খানকির পোলা তোর মারে কাউয়া দিয়া উড়াইয়া চুদি বেশ্যার পোলা চুপ থাক,Personal,yes,Extreme personal abuse with graphic sexual violence and threats,3,Not useful as question,unsafe,Explicit sexual violence and threats,S7,Graphic sexual assault and harassment
সালে স্বাধীনতা সংগ্রামে বাংলাদেশের শরনার্থীদের ভারত আশ্রয় দিয়েছিল  তাদের মাটিতে আশ্রয় দিয়ে সামরিক প্রশিক্ষণ দিয়ে আমাদের মুক্তিযুদ্ধে উৎসাহ দিয়ে দেশ স্বাধীনে সাহায্য করেছিল  ভারতের স্বার্থে বা মানবতার খাতিরে যে কারণেই হোক ভারত আমাদের সাহায্য করায় বিশেষত নিরাপত্তাজানিত সুফল ভারত ও বাংলাদেশ উভয়েই পাচ্ছে  বাংলাদেশ ও ভারত আজ ঘনিষ্ট মিত্র  তাই আমাদেরও সুযোগ এসেছে রোহিঙ্গাদের আশ্রয় প্রশিক্ষণ দিয়ে আরাকান রাজ্যকে একটি স্বাধীন রাষ্ট্র হিসাবে গড়ে তোলার  যার সুফল একদিন আমরাও ভোগ করতে পারব  যেহেতু সামর,Geopolitical,yes,Geopolitical advocacy involving refugee militarization and state formation,3,Not useful as question,unsafe,Advocates geopolitical intervention and militarization,S5,Geopolitical conflict escalation
ভারত খুড়িয়ে খুড়িয়ে ড্র করল  আর বাংলদেশ জিতে যেত অনায়েশে  শালার,Geopolitical,yes,Nationalistic insult framed through sports rivalry,3,Not useful as question,unsafe,Nationalistic harassment,S5,Hostile national taunting
মায়ানমারের সমস্যায়ও শিবিরের হাত থাকতে পারে,Political,yes,Unsubstantiated political conspiracy allegation,3,Not useful as question,unsafe,Political misinformation,S4,Conspiracy-driven political harassment
চীনাদের কাছ থেকে আমাদের শিক্ষা নেওয়া উচিৎ কারন উনারা তাদের সীমান্তের একাংশ খুলে দিয়েছে কিন্তু আমরা তা পারিনি তাছাড়া বড় উদাহরন হচ্ছে সালে আমরাও পালিয়ে গেছিলাম ভারতে  আর ভারত আমাদের আশ্রয় দিয়েছিল  সংকোট কেটে যাবার পর আমরা যেমন মাতৃভূমিতে ব্যাক করছিলাম তেমনি ওরাও চলে যাবে  সুতরাং আমাদের সীমান্ত খুলে দেওয়া উচিৎ,Geopolitical,yes,Policy advocacy framed through geopolitical comparison,3,Not useful as question,unsafe,Geopolitical policy pressure,S5,Geopolitical advocacy framing
যে শালা মালাউন বলেছে ও বোনেরে চুদি তোমাদের মুখে দারি মাথায় ঠুপি রেখে ভন্ডামী কর তোমরা জংগী,Religious,yes,Religious harassment with sexual threats and terrorism labeling,3,Not useful as question,unsafe,Religious hate speech,S3,Dehumanization and religious slur
শালারা গাজা মনে হয় একটু বেশি খাইছে আগে ভারতী অশ্লীল সিরিয়াল বন্ধ কর তারপর না হয় বিদেশি সুলতান সুলেমান,Geopolitical,yes,Cultural hostility and derogatory stereotyping,3,Not useful as question,unsafe,Cultural harassment,S5,Derogatory geopolitical stereotyping
সাবাস আমীর হওয়ার সাথে সাথে হয়ে গেল রাজাকার,Political,yes,Political delegitimization using historical slur,3,Not useful as question,unsafe,Political harassment,S4,Delegitimizing political identity
পৃথিবীর সব চাইতে বড় বেঈমান নিমকহারামের জাত হলো পশ্চিমবঙ্গের ভারতীয় বাঙালীরা পূর্বপুরুষানুক্রমে এদের জন্মটাই হয়েছে বাংলাদেশী বীর্যধারায় কিন্তু পা চাটে সব সময় দিল্লির  পশ্চিমবঙ্গের রাজ্য সরকার মমতা দিদির পার্টি সারাক্ষণ বাংলাদেশের কথা মতো উঠবস করে আর পশ্চিমবঙ্গীয়রা উঠবস করে ওদের সৎবাপ দিল্লির কথামতো,Geopolitical,yes,Extreme dehumanization and ethnic-national hatred,3,Not useful as question,unsafe,Ethno-national hate,S5,Collective dehumanization
ভারতের পরাধীন করদরাজ্য পশ্চিমবঙ্গের বাসিন্দা রেফিউজিরা পূর্বপুরুষানুক্রমে ওদের ঔরসদাতা জেনেটিক্যাল বাপ বাংলাদেশের পিতৃত্ব স্বীকার না করে মারাঠী মারোয়ারী পাঞ্জাবী দ্রাবিড়দেরকে নিজেদের বাপ বলে ডাকে কিন্তু পশ্চিমবঙ্গীয়রা যে জন্মপরিচয়বিহীন একটা অবৈধ বেজন্মা জাতিগোষ্ঠী তা অবাঙালী ভারতীয়রা জানে বলেই পশ্চিমবঙ্গীয়দেরকে নিজেদের আজ্ঞাবহ ক্রীতদাস হিসেবে কাজে খাটায় ওসব পশ্চিমকাঙ্গালীদেরকে,Geopolitical,yes,Severe ethnic dehumanization and collective insult,3,Not useful as question,unsafe,Ethnic hate speech,S5,Collective dehumanization and slavery framing
